,UpTrend,NoTrend,DownTrend,Trend,Time
1,NA,NA,NA,NA,1325379600
2,NA,NA,NA,NA,1328058000
3,NA,NA,NA,NA,1330563600
4,NA,NA,NA,NA,1333238400
5,NA,NA,NA,NA,1335830400
6,NA,NA,NA,NA,1338508800
7,NA,NA,NA,NA,1341100800
8,NA,NA,NA,NA,1343779200
9,NA,NA,NA,NA,1346457600
10,NA,NA,NA,NA,1349049600
11,NA,NA,NA,NA,1351728000
12,NA,NA,NA,NA,1354323600
13,NA,NA,NA,NA,1357002000
14,NA,NA,NA,NA,1359680400
15,NA,NA,NA,NA,1362099600
16,NA,NA,NA,NA,1364774400
17,NA,NA,NA,NA,1367366400
18,NA,NA,NA,NA,1370044800
19,NA,NA,NA,NA,1372636800
20,NA,NA,NA,NA,1375315200
21,1,0,0,1,1377993600
22,1,0,0,1,1380585600
23,1,0,0,1,1383264000
24,1,0,0,1,1385859600
25,1,0,0,1,1388538000
26,1,0,0,1,1391216400
27,1,0,0,1,1393635600
28,1,0,0,1,1396310400
29,1,0,0,1,1398902400
30,1,0,0,1,1401580800
31,1,0,0,1,1404172800
